Name,Neighborhood,Street No,Street Name,City,State,PostalCode,Phone,Theme,Qualifier,Vendor
Ottomanelli Meat Market (Upper East Side),Upper East Side,1549,York Ave,New York,NY,10028,(212) 772-7900,Restaurants,Venue,Ottomanelli Meat Market
Asia Society (Bedford Stuyvesant),Bedford Stuyvesant,725,Park Ave,New York,NY,10021-5025,(212) 288-7350,Restaurants,Venue,Asia Society
John's Pizzeria (Bushwick),Bushwick,278,Bleecker St,New York,NY,10014-4105,(212) 243-1680,Restaurants,Venue,John's Pizzeria
Petaks (Carnegie Hill),Carnegie Hill,1246,Madison Ave,New York,NY,10128,(212) 722-7711,Restaurants,Venue,Petaks
Utopia Restaurant (Upper West Side),Upper West Side,267,Amsterdam Ave,New York,NY,10023,(212) 873-6233,Restaurants,Venue,Utopia Restaurant
Ray's Pizza (Upper West Side),Upper West Side,462,Columbus Ave,New York,NY,10024-5108,(212) 873-1135,Restaurants,Venue,Ray's Pizza
Dairy Profit Weekly (East Village),East Village,31,Avenue C,New York,NY,10009-7824,(607) 729-9321,Restaurants,Venue,Dairy Profit Weekly
French Roast (Upper West Side),Upper West Side,2340,Broadway,New York,NY,10024,(212) 799-1533,Restaurants,Venue,French Roast
Niko's Mediterranean (Upper West Side),Upper West Side,2161,Broadway,New York,NY,100246603,(212) 873-7000,Restaurants,Venue,Niko's Mediterranean
Tony's Pizza (Washington Heights),Washington Heights,4233,Broadway,New York,NY,10033-3707,(212) 568-3637,Restaurants,Venue,Tony's Pizza
Saye At The Square (Greenwich Village),Greenwich Village,79,Washington Sq E,New York,NY,10003,(212) 995-3443,Restaurants,Venue,Saye At The Square
Pala (Lower East Side),Lower East Side,198,ALLEN ST,NEW YORK,NY,10002-1418,(212) 614-7252,Restaurants,Venue,Pala
Olivia Blanchflower (SoHo),SoHo,141,WOOSTER ST APT 4B,New York,NY,10012-3198,(212) 673-2210,Restaurants,Venue,Olivia Blanchflower
The Overlook Press (SoHo),SoHo,141,Wooster St,New York,NY,10012-3198,(845) 679-6838,Restaurants,Venue,The Overlook Press
Housing Works (SoHo),SoHo,126,Crosby St,New York,NY,10012-3326,(212) 334-3324,Restaurants,Venue,Housing Works
Mike's Pizza (Upper East Side),Upper East Side,1315,Lexington Ave,New York,NY,10128,(212) 369-9000,Restaurants,Venue,Mike's Pizza
Loccitane (Carnegie Hill),Carnegie Hill,1288,Madison Ave,New York,NY,10128-0567,(212) 987-8987,Restaurants,Venue,Loccitane
Tony's Pizza (Washington Heights),Washington Heights,4771,BROADWAY,NEW YORK,NY,10034,,Restaurants,Venue,Tony's Pizza
McDonald's (Hamilton Heights),Hamilton Heights,3549,Broadway,New York,NY,10031,(212) 281-5330,Restaurants,Venue,McDonald's
Beekman Tower Suite Hotel (Turtle Bay),Turtle Bay,3,Mitchell Pl Frnt,New York,NY,10017,(212) 355-7300,Restaurants,Venue,Beekman Tower Suite Hotel
Longines Realty (Williamsburg),Williamsburg,194,Grand St,New York,NY,10013,(212) 941-9680,Restaurants,Venue,Longines Realty
Happy Jade House (Washington Heights),Washington Heights,4028,Broadway,New York,NY,10032,(212) 795-0975,Restaurants,Venue,Happy Jade House
Jean-luc (Upper West Side),Upper West Side,507,Columbus Ave,New York,NY,10024,(212) 712-1700,Restaurants,Venue,Jean-luc
Rays Pizza (Tribeca),Tribeca,165,Chambers St,New York,NY,10007-1006,(212) 233-8233,Restaurants,Venue,Rays Pizza
Jim Lewis (Greenwich Village),Greenwich Village,208,Varick St,New York,NY,100144302,(212) 206-9991,Restaurants,Venue,Jim Lewis
Gensler (Midtown),Midtown,1,Rockefeller Plz,New York,NY,10020-2003,(212) 492-8621,Restaurants,Venue,Gensler
Palladium Equity Partners (Midtown),Midtown,1270,Avenue Of The Americas Ste 2200,New York,NY,10020,(212) 218-5150,Restaurants,Venue,Palladium Equity Partners
Keste Pizzeria (Bushwick),Bushwick,271,Bleecker St,New York,NY,10014-4102,(212) 243-1500,Restaurants,Venue,Keste Pizzeria
Steve Smith (Springwells),Springwells,1101,Springwells St,Detroit,MI,482091928,(313) 842-8330,Restaurants,Venue,Steve Smith
Taco Bell (Warrendale),Warrendale,18400,W Warren Ave,Detroit,MI,48228,(313) 336-4821,Restaurants,Venue,Taco Bell
Subway 14651 Detroit (NW Goldberg),NW Goldberg,2790,W Grand Blvd,Detroit,MI,48202,(313) 875-8335,Restaurants,Venue,Subway 14651 Detroit
Subway (Franklin Park),Franklin Park,18334,Joy Rd,Detroit,MI,48228,(313) 270-4000,Restaurants,Venue,Subway
Little Caesars (Downtown),Downtown,2211,WOODWARD AVE,DETROIT,MI,48201-3467,(313) 983-6000,Restaurants,Venue,Little Caesars
Olympia Entertainment (Downtown),Downtown,2301,Woodward Ave,Detroit,MI,48201-3430,(313) 965-9500,Restaurants,Venue,Olympia Entertainment
Scotty Simpsons Fish & Chips (Brightmoor),Brightmoor,22200,Fenkell St,Detroit,MI,48223,(313) 533-0950,Restaurants,Venue,Scotty Simpsons Fish & Chips
Hannan House Cafe (Midtown),Midtown,4750,WOODWARD AVE,DETROIT,MI,48288,(313) 833-1840,Restaurants,Venue,Hannan House Cafe
Wccc (Conner Creek Ind),Conner Creek Ind,5901,Conner St,Detroit,MI,48213-3457,(313) 579-6928,Restaurants,Venue,Wccc
KFC (Ravendale),Ravendale,9041,Chalmers St,Detroit,MI,48213,(313) 372-0142,Restaurants,Venue,KFC
Errol Fervice (East English Village),East English Village,16950,Harper Ave,Detroit,MI,482241902,(313) 886-7575,Restaurants,Venue,Errol Fervice
Pizza Hut (East English Village),East English Village,16835,E Warren Ave,Detroit,MI,48224,(313) 884-2230,Restaurants,Venue,Pizza Hut
Great Wall (Russell Woods),Russell Woods,3345,W Davison # 3351,Detroit,MI,48238,(313) 868-8888,Restaurants,Venue,Great Wall
Pizza Factory (Roxhill),Roxhill,9452,35TH AVE SW,Seattle,WA,98126-3825,,Restaurants,Venue,Pizza Factory
Common Ground (Pioneer Square),Pioneer Square,401,2nd Ave S Ste 500,Seattle,WA,98104,(206) 461-4500,Restaurants,Venue,Common Ground
Cloud City Coffee (Maple Leaf),Maple Leaf,8801,Roosevelt Way Ne,Seattle,WA,981153028,(206) 527-5552,Restaurants,Venue,Cloud City Coffee
Taco Bell No 19346 (Genesee),Genesee,3820,Rainier Ave S Ste K,Seattle,WA,981181158,(206) 721-5546,Restaurants,Venue,Taco Bell No 19346
Quiznos Subs (University District),University District,1100,NE 45th St Ste 100,Seattle,WA,98105,(206) 953-7721,Restaurants,Venue,Quiznos Subs
Pizza Time (Mount View),Mount View,11614,Ambaum Blvd SW,Seattle,WA,98146,(206) 243-2222,Restaurants,Venue,Pizza Time
Red Chopstick (Westminster Triangle),Westminster Triangle,14817,Aurora Ave N,Seattle,WA,98133,(206) 779-6493,Restaurants,Venue,Red Chopstick
KFC (Hillwood),Hillwood,19533,Aurora Ave N,Seattle,WA,98133,(206) 542-5155,Restaurants,Venue,KFC
Pizza Hut (Westminster Triangle),Westminster Triangle,15565,Aurora Ave N,Seattle,WA,98133,(206) 362-6100,Restaurants,Venue,Pizza Hut
Domino's Pizza (Gatewood),Gatewood,6540,California Ave SW Ste B,Seattle,WA,98136,(206) 932-0995,Restaurants,Venue,Domino's Pizza
Subway Sandwiches (Haller Lake),Haller Lake,12248,Aurora Ave N # 4091,Seattle,WA,98133,(509) 237-3078,Restaurants,Venue,Subway Sandwiches
Subway (Haller Lake),Haller Lake,12248,Aurora Ave N Ste B,Seattle,WA,98133,(206) 361-5135,Restaurants,Venue,Subway
KFC (Victory Heights),Victory Heights,11701,Lake City Way NE,Seattle,WA,98125,(206) 365-2136,Restaurants,Venue,KFC
Roxy S (Meadowbrook),Meadowbrook,11310,Lake City Way NE,Seattle,WA,98125,(206) 409-0966,Restaurants,Venue,Roxy S
Bella Ciao (Cedar Park),Cedar Park,13755,40th Ave NE,Seattle,WA,98125,(206) 524-6989,Restaurants,Venue,Bella Ciao
Mod Pizza (West Woodland),West Woodland,6010,15TH AVE NW,SEATTLE,WA,98107,(206) 939-4000,Restaurants,Venue,Mod Pizza
Salsa Caliente (Phinney Ridge),Phinney Ridge,6532,Phinney Ave N,Seattle,WA,98103,(206) 633-5166,Restaurants,Venue,Salsa Caliente
Firehouse Coffee (Ballard),Ballard,2622,NW Market St,Seattle,WA,981074106,(206) 784-2911,Restaurants,Venue,Firehouse Coffee
Taco Bell (West Woodland),West Woodland,5900,15th Ave NW,Seattle,WA,98107,(206) 781-1815,Restaurants,Venue,Taco Bell
Slices (Greenwood),Greenwood,7511,6TH AVE NW # 8,SEATTLE,WA,98117-4936,(206) 935-0178,Restaurants,Venue,Slices
Crash Landing Pizza (Phinney Ridge),Phinney Ridge,702,N 65th St,Seattle,WA,98103-5306,(206) 706-1480,Restaurants,Venue,Crash Landing Pizza
True North Roasting House (West Woodland),West Woodland,1406,NW 53rd St Ste 1B,Seattle,WA,98107,(206) 706-4131,Restaurants,Venue,True North Roasting House
Taste Of India (University District),University District,5517,Roosevelt Way NE,Seattle,WA,98105,(206) 528-1575,Restaurants,Venue,Taste Of India
Jack N The Box (University District),University District,4749,University Way NE,Seattle,WA,98105,(206) 525-5599,Restaurants,Venue,Jack N The Box
Romios Pizza And Pasta (Portage Bay),Portage Bay,3242,Eastlake Ave E,Seattle,WA,98102,(206) 322-4453,Restaurants,Venue,Romios Pizza And Pasta
Ldd Espresso (Downtown),Downtown,800,5th Ave Ste L340,Seattle,WA,98104,(206) 625-3253,Restaurants,Venue,Ldd Espresso
Subway Sandwiches (Minor),Minor,800,12th Ave,Seattle,WA,98122,(509) 237-3078,Restaurants,Venue,Subway Sandwiches
Mad Pizza # 104 (South Lake Union),South Lake Union,1165,Harrison St,Seattle,WA,98109,(206) 417-6500,Restaurants,Venue,Mad Pizza # 104
King Deli And Sundries (Pioneer Square),Pioneer Square,83,S King St,Seattle,WA,98104,(206) 622-9902,Restaurants,Venue,King Deli And Sundries
Mels Market (Downtown),Downtown,1001,4th Ave Ste 50,Seattle,WA,98154,(206) 224-7017,Restaurants,Venue,Mels Market
All-purpose Pizza & Ale (Leschi),Leschi,2901,S Jackson St,Seattle,WA,98144-2562,(206) 324-8646,Restaurants,Venue,All-purpose Pizza & Ale
Pettirosso (Capitol Hill),Capitol Hill,1101,E Pike St,Seattle,WA,98122,(206) 323-4830,Restaurants,Venue,Pettirosso
Circa Nghbrhood Grill Alehouse (Admiral),Admiral,2605,California Ave SW,Seattle,WA,98116,(206) 923-1102,Restaurants,Venue,Circa Nghbrhood Grill Alehouse
Subway (North Delridge),North Delridge,3829,Delridge Way SW,Seattle,WA,98106,(206) 935-9500,Restaurants,Venue,Subway
Taco Time (Atlantic),Atlantic,2212,Rainier Ave S,Seattle,WA,98144,(206) 329-8226,Restaurants,Venue,Taco Time
Taco Time (Fairmount Park),Fairmount Park,3500,SW Avalon Way,Seattle,WA,98126,(206) 923-3378,Restaurants,Venue,Taco Time
Tutta Bella (Columbia City),Columbia City,4914,RAINIER AVE S STE B,SEATTLE,WA,98118-1744,(206) 633-3800,Restaurants,Venue,Tutta Bella
Pizza Hut (Gatewood),Gatewood,6501,35th Ave SW,Seattle,WA,98126,(206) 935-2707,Restaurants,Venue,Pizza Hut
Tutta Bella (Columbia City),Columbia City,4918,RAINIER AVENUE SOUTH,SEATTLE,WA,98118,(425) 391-6838,Restaurants,Venue,Tutta Bella
Subway (Industrial District),Industrial District,6760,W Marginal Way SW,Seattle,WA,98106,(206) 766-9909,Restaurants,Venue,Subway
Fine Grind Too (Boulevard Park),Boulevard Park,13422,14th Ave S,Seattle,WA,98168,(206) 248-0435,Restaurants,Venue,Fine Grind Too
Quiznos (Sunnydale),Sunnydale,15623,1st Ave S Ste A,Seattle,WA,98148,(206) 204-0993,Restaurants,Venue,Quiznos
Taco Bell (Sunnydale),Sunnydale,15059,1st Ave S,Seattle,WA,98148,(206) 241-6944,Restaurants,Venue,Taco Bell
Cafe Mundi (Sunnydale),Sunnydale,447,SW 152nd St,Seattle,WA,98166,(206) 838-4181,Restaurants,Venue,Cafe Mundi
"King County, Washington (Georgetown)",Georgetown,7277,Perimeter Rd S Ste 200,Seattle,WA,98108-3841,(206) 205-8358,Restaurants,Venue,"King County, Washington"
Sorellas Ristorante & Pizzeria (Madison Park),Madison Park,4234,E Madison St,Seattle,WA,98112,(206) 323-1393,Restaurants,Venue,Sorellas Ristorante & Pizzeria
Elliot Bay Pizza (West Queen Anne),West Queen Anne,2115,Queen Anne Ave N,Seattle,WA,98109-2310,(206) 285-0500,Restaurants,Venue,Elliot Bay Pizza
China Village Restaurant (Bryant),Bryant,3224,NE 45th St,Seattle,WA,98105,(206) 523-0772,Restaurants,Venue,China Village Restaurant
Stella Pizza & Ale (Georgetown),Georgetown,5513,Airport Way S,Seattle,WA,98108,(206) 762-7574,Restaurants,Venue,Stella Pizza & Ale
Bada Lounge (Industrial District),Industrial District,2230,1st Ave,Seattle,WA,98121,(206) 374-8717,Restaurants,Venue,Bada Lounge
Quiznos Subs (Downtown),Downtown,1401,2nd Ave Ste 107,Seattle,WA,98101,(206) 264-9405,Restaurants,Venue,Quiznos Subs
Off The Rack Deli (Downtown),Downtown,1601,2nd Ave # D,Seattle,WA,98101,(206) 441-6003,Restaurants,Venue,Off The Rack Deli
Quiznos Subs (Downtown),Downtown,823,3rd Ave Ste 107,Seattle,WA,98104,(206) 652-9500,Restaurants,Venue,Quiznos Subs
Caffe Migliore (Downtown),Downtown,1215,4th Ave,Seattle,WA,98161-1004,(206) 624-9893,Restaurants,Venue,Caffe Migliore
Tullys Coffee (Downtown),Downtown,1601,5th Ave Ste 100,Seattle,WA,98101,(206) 405-3797,Restaurants,Venue,Tullys Coffee
A New York Pizza Place (Maple Leaf),Maple Leaf,8310,5th Ave Ne,Seattle,WA,981154119,(206) 524-1355,Restaurants,Venue,A New York Pizza Place
Rezas Italian Cafe (Denny Triangle),Denny Triangle,1220,Howell St Ste 140,Seattle,WA,98101,(206) 223-5454,Restaurants,Venue,Rezas Italian Cafe
Pronto Pizza Pasta (Magnolia),Magnolia,3208,W Mcgraw St,Seattle,WA,98199,(206) 283-6005,Restaurants,Venue,Pronto Pizza Pasta
Santa Fe Cafe (Phinney Ridge),Phinney Ridge,5910,Phinney Ave N,Seattle,WA,98103,(206) 783-9755,Restaurants,Venue,Santa Fe Cafe
Thai-ger Room Restaurant (University District),University District,4228,University Way NE,Seattle,WA,98105,(206) 632-9299,Restaurants,Venue,Thai-ger Room Restaurant
Shiros (Belltown),Belltown,2401,2nd Ave,Seattle,WA,98121,(206) 443-9844,Restaurants,Venue,Shiros
The Melting Pot (Uptown),Uptown,14,Mercer St,Seattle,WA,98109,(206) 378-1208,Restaurants,Venue,The Melting Pot
Specialtys Cafe & Bakery (Downtown),Downtown,1023,3RD AVE,Seattle,WA,98104-1107,,Restaurants,Venue,Specialtys Cafe & Bakery
Java Jazz (Interbay),Interbay,3435,15th Ave W Ste 3457,Seattle,WA,98119,(206) 282-2321,Restaurants,Venue,Java Jazz
Zeitgeist Kunst & Kaffee (Pioneer Square),Pioneer Square,171,S Jackson St,Seattle,WA,981042852,(206) 583-0497,Restaurants,Venue,Zeitgeist Kunst & Kaffee
Subway Sandwiches (Pioneer Square),Pioneer Square,103,Yesler Way,Seattle,WA,98104,(509) 237-3078,Restaurants,Venue,Subway Sandwiches
Zeeks Pizza (West Queen Anne),West Queen Anne,1915,QUEEN ANNE AVE N,SEATTLE,WA,98109-2549,(206) 258-7870,Restaurants,Venue,Zeeks Pizza
World Wrapps (South Lake Union),South Lake Union,222,Yale Ave N Fl 3,Seattle,WA,98109,(206) 233-0222,Restaurants,Venue,World Wrapps
Todo Wraps (First Hill),First Hill,1109,Madison St,Seattle,WA,98104,(206) 467-9744,Restaurants,Venue,Todo Wraps
Nectar (Fremont),Fremont,412,N 36th St,Seattle,WA,98103,(206) 632-2020,Restaurants,Venue,Nectar
Potbelly Sandwich Shop (Denny Triangle),Denny Triangle,2030,6TH AVE,SEATTLE,WA,98121-2507,(206) 858-4288,Restaurants,Venue,Potbelly Sandwich Shop
Westcoast Hotels (Denny Triangle),Denny Triangle,600,Stewart St Ste 300,Seattle,WA,98101,(206) 441-9856,Restaurants,Venue,Westcoast Hotels
